name,brand,language,tags,age_min_months,piece_count,quantity,battery_operated,shareable,materials,keywords,description,link,admin_notes
Toppling Dominoes,,,building,5+,97,1,No,Yes,plastic,,"These colorful dominoes are designed for lining up and creating exciting chain-reaction topples. Simply arrange the tiles in patterns or paths, then tip the first one to watch them fall in a smooth, satisfying sequence. Perfect for hands-on play, they encourage creativity, focus, and an understanding of cause and effect.",,
"Triange, Circle, Square Building Set",Grimm's,,building,1+,30,1,No,Yes,wood,,These colorful blocks are for both building and puzzle. Open a whole new world with these geometrical shapes.,https://www.grimms.eu/en/products/building-set-triangle-square-circle?srsltid=AfmBOopVwbl5fxw1jxQy63DSmgHpIy_BSTt6SveSOvHMRw6ydPTLgY76,
Triangle,,,sensory,3+,2,1,No,Yes,metal,,"The triangle is a simple percussion instrument made from a metal rod bent into a three-sided shape, played by striking it with a small metal beater. It produces a bright, clear ringing sound that helps children explore rhythm, timing, and cause-and-effect through play. Durable and easy to use, it's a great introduction to music for young children.",,
Tropical Pop-Up,Fisher-Price,,baby,9m+,1,1,No,Yes,plastic,,"This engaging pop-up toy introduces babies to cause and effect through playful interactions with cheerful tropical fruit characters. Little ones can activate different features to reveal a strawberry, pear, pineapple, and orange, helping build fine motor and memory skills. Designed for ages 9 months and up, it's made of easy-to-clean plastic and perfectly sized for small hands.",,
Under the Sea Puzzle (48 pieces),,,puzzles,3+,48,1,No,Yes,paper,,"Dive into an underwater adventure with this vibrant 48-piece sea creatures puzzle. Featuring colorful fish, playful dolphins, and other fascinating ocean life, it's designed to engage young minds while building problem-solving skills. Perfect for little hands, the sturdy pieces come together to create a lively ocean scene that kids will love exploring again and again.",,
Uno,Mattel,,games,7+,100,1,No,Yes,paper,,"Uno is a fast-paced card game where players race to be the first to get rid of all their cards by matching colors or numbers. Special action cards add excitement by reversing play, skipping turns, or making others draw extra cards. Easy to learn, UNO is perfect for group play and building turn-taking and strategy skills.",,
"Vehicle Puzzles (4 puzzles, 12 pcs each)",Melissa & Doug,,"puzzles, vehicles",3+,48,1,No,Yes,Wood,,"This set of four wooden vehicle puzzles offers toddlers four fun challenges in one box, each featuring a different colorful vehicle — like a race car, school bus, train, or fire engine — each made up of 12 pieces. As children work to complete each puzzle, they build problem-solving skills, shape recognition, hand-eye coordination, and fine motor development in an engaging, screen-free way. ",,
Water Waves Nesting Blocks,Grimm's,,baby,1+,6,1,No,Yes,wood,,"Carved out of a single block of hardwood, these six Water Waves Nesting Blocks nestle together to create a stacking toy as well as a simple nesting puzzle.

This is an inspired, open-ended Waldorf toy designed to stimulate a child's creativity. Pieces can be used as a bridge, hill, fence, see-saw, doll cradle, tunnel, or cozy cave for imaginary playmates.",,
Wooden Block Set ,Lovevery,,"baby, building",1+,69,1,No,Yes,"Magnet, Wood",,"This premium wooden block set features 70 heirloom-quality pieces in 18 shapes and a rainbow of 18 colors, all crafted by child development experts to build spatial reasoning, language, and problem-solving skills from 12 months and beyond. The set arrives beautifully packaged in a wooden storage box that converts into a pull car.",https://lovevery.com/products/the-block-set?srsltid=AfmBOopkyr-oiycSHFaiD2DViGNw2MdceE2E8DGMJ4ETCkDFZp8dS2tK,
Wooden Lacing Beads,Melissa & Doug,,sensory,4+,33,1,No,Yes,"wood, string",,"These Blues Clues beads lace on colorful cords; match to patterns on double-sided activity cards or create unique patterns and designs. An engaging and creative way to learn shapes, colors, and counting; helps develop fine motor and problem-solving skills. Includes 25 1-inch wooden beads with shapes, numbers, colors, Blue's Clues & You! characters, and more, 4 lacing cords, 4 double-sided activity cards, wooden storage crate for easy cleanup.",,
Wooden Peg Drop,Lovevery,,baby,9m+,4,1,No,Yes,Wood,,Strengthen precise fine motor skills with this engaging problem-solving challenge. Part of the Lovevery Thinker Play Kit for ages 11-12 months.,,
Wooden Stacking Pegboard,Lovevery,,baby,1+,13,1,No,Yes,wood,lovevery,Fit small objects into small spaces while building colorful towers. Part of the Adventurer play kit for ages 16 - 18 months.,,
Wooden Train,,,,9m+,,1,No,Yes,Wood,,"A wooden train set features two chunky, smooth-finished cars that little hands can easily grasp, each topped with colorful stacking blocks in bright colors. As children load and unload the blocks, mix and match colors, and push the train along, they develop fine motor skills, color recognition, and early sorting and stacking abilities. ",,
Xylophone,,,sensory,6+,3,1,No,Yes,"metal, wood",,"A glockenspiel (slightly different from a xylophone!) is a percussion instrument made of metal bars arranged like a small keyboard and played with mallets. It produces bright, bell-like tones and is great for helping children explore melody, pitch, and early music skills.

Note: This high quality glockenspiel is designed for older kids wanting to learn about music, not a toddler toy.",,
